node1,node2,edge
1133,2389,0.41078137700810785
1133,3211,0.42649833789363095
1133,4413,0.4939808481925058
1133,4441,0.45386006053807454
1133,4442,0.41150080759896956
1133,4451,0.4802125304931686
1133,4461,0.45372935518503543
1133,4471,0.5071679722207592
1133,4529,0.44365127847172736
1133,4842,0.421018185464402
1133,5221,0.44159265895861394
1133,6212,0.4180423687788833
1133,6213,0.40523498569699146
1133,7225,0.4668295586271385
1133,8111,0.47167269389522887
1133,8131,0.45235977677515254
1141,3117,0.41295900355876125
1141,4872,0.47573823119940334
1151,4245,0.40330819835913134
1151,4249,0.4275568028886647
2111,2131,0.713226824170549
2131,5324,0.4082011710207692
2361,2362,0.4670752607817494
2361,2371,0.4209829237086757
2361,2381,0.653513078804505
2361,2382,0.6479474778862745
2361,2383,0.5943048131582626
2361,2389,0.7141028313596677
2361,4238,0.46246134191108124
2361,4249,0.4625751554575269
2361,4411,0.5968727369222447
2361,4412,0.48578813330511006
2361,4413,0.7111728268289321
2361,4421,0.4002672971690972
2361,4422,0.4382769570916733
2361,4431,0.45783476810767604
2361,4441,0.6921105067594109
2361,4442,0.5876944304260088
2361,4451,0.6942492637255544
2361,4452,0.43794175713143285
2361,4453,0.4875907027278953
2361,4461,0.6142931677749589
2361,4471,0.7373298673798663
2361,4511,0.46660159434676485
2361,4529,0.49713431844414324
2361,4531,0.42876808033819447
2361,4532,0.48039366271218586
2361,4533,0.4498809312679946
2361,4539,0.5504207163061762
2361,4543,0.5991063810802424
2361,4841,0.5345839869686319
2361,4842,0.6074865945624152
2361,5221,0.6620358361671672
2361,5242,0.577322178774702
2361,5311,0.5026472559476723
2361,5312,0.5627858622963595
2361,5322,0.45141442595016906
2361,5412,0.43481413967170934
2361,5419,0.6582678471351497
2361,5617,0.5347663061423407
2361,6116,0.4217680600490993
2361,6211,0.4799633375341874
2361,6212,0.6827664145005824
2361,6213,0.6919418903128544
2361,6214,0.44220954132835405
2361,6231,0.4611945514783126
2361,6232,0.4191052882542237
2361,6233,0.5101018768672804
2361,6241,0.5254634222661706
2361,6244,0.6019360332304649
2361,7139,0.6236499355959608
2361,7211,0.5201844645574436
2361,7212,0.49595630056540607
2361,7224,0.5576707956283535
2361,7225,0.7350915926500066
2361,8111,0.749909199389694
2361,8113,0.4275766282642185
2361,8114,0.44026389818620565
2361,8121,0.4986725664927232
2361,8122,0.5302747896700962
2361,8131,0.6910797245060589
2361,8133,0.40225115551528795
2361,8134,0.5416582212932837
2361,8139,0.4330724399860681
